Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,Frequency,R_Score,F_Score,M_Score,RFM_Score,CLV_Proxy,CLV_Enriched,AvgBasketSize,DigitalEngagement,DealSensitivity,CampaignEngagement,HasChildren,CustomerSeniority
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,63,2822,0,0,1,0,0,0,0,1,0,0,1529,1441,0,25,3,5,5,13,197.76222537207653,442.2589583138756,61.16,15,0.12,0,0,7.7315068493150685
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,66,2272,0,0,1,0,0,0,0,1,0,0,21,15,0,6,4,1,1,6,3.3736795774647885,6.213213034372549,3.5,6,0.3333333333333333,0,1,6.2246575342465755
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,55,2471,0,0,0,1,0,0,0,1,0,0,734,692,0,21,4,4,4,12,108.42169162282477,280.3631621761933,34.95238095238095,12,0.047619047619047616,0,0,6.76986301369863
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,36,2298,0,0,0,1,0,0,0,1,0,0,48,43,0,8,4,2,2,8,7.624020887728459,15.71010364744046,6.0,8,0.25,0,1,6.295890410958904
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,39,2320,0,1,0,0,0,0,0,0,0,1,407,392,0,19,1,4,3,8,64.0323275862069,96.98859484986191,21.42105263157895,10,0.2631578947368421,0,1,6.3561643835616435
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,53,2452,0,0,0,1,0,0,0,0,1,0,702,688,0,22,5,4,4,13,104.4983686786297,290.395983431569,31.90909090909091,12,0.09090909090909091,0,1,6.717808219178083
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,49,2752,1,0,0,0,0,0,0,1,0,0,563,536,0,21,4,4,3,11,74.67114825581396,184.10814472469423,26.80952380952381,13,0.19047619047619047,0,1,7.53972602739726
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,35,2576,0,1,0,0,0,0,0,0,0,1,146,123,0,10,4,2,2,8,20.68711180124224,42.75433629958403,14.6,12,0.2,0,1,7.057534246575343
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,2547,0,0,0,1,0,0,0,0,0,1,44,42,0,6,5,1,2,8,6.3054574008637605,12.99158253769698,7.333333333333333,12,0.16666666666666666,0,1,6.978082191780822
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,70,2267,0,0,0,1,0,0,0,0,0,1,36,23,1,2,2,1,1,4,5.796206440229377,7.965188554226417,18.0,21,0.5,1,1,6.210958904109589
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,44,2752,0,1,0,0,0,0,1,0,0,0,45,29,0,6,2,1,2,5,5.968386627906977,9.549138201238998,7.5,10,0.16666666666666666,0,0,7.53972602739726
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,61,2385,1,0,0,0,0,0,0,1,0,0,1072,1042,0,16,1,3,4,8,164.0587002096436,263.7579854909093,67.0,5,0.0625,0,0,6.534246575342466
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,68,2385,1,0,0,0,0,0,0,0,1,0,296,282,0,15,3,3,3,9,45.299790356394126,89.49289097892284,19.733333333333334,12,0.2,0,1,6.534246575342466
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,33,2786,0,1,0,0,0,0,0,1,0,0,41,36,0,5,4,1,1,6,5.371500358937545,9.690656038675204,8.2,9,0.2,0,0,7.632876712328767
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,74,2741,0,0,1,0,0,0,0,0,0,1,1270,1225,2,26,4,5,5,14,169.11711054359722,479.70145873007664,48.84615384615385,10,0.038461538461538464,2,0,7.50958904109589
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,40,2711,0,1,0,0,0,0,0,1,0,0,92,88,0,9,3,2,2,7,12.386573220213942,22.241711462371473,10.222222222222221,11,0.3333333333333333,0,1,7.427397260273972
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,74,2826,0,0,0,1,0,0,0,1,0,0,289,261,0,13,4,3,3,10,37.32661004953999,87.40231359497642,22.23076923076923,11,0.15384615384615385,0,0,7.742465753424658
